Age,Other mental disorders,Idiopathic developmental intellectual disability,Conduct disorder,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Eating disorders,Anxiety disorders,Bipolar disorder,Depressive disorders,Schizophrenia
0-6 days,0,0.020317421,0,0,0.006388251,0,0,0,0,0
7-27 days,0,0.020538729,0,0,0.006371881,0,0,0,0,0
28-364 days,0,0.021264232,0,0,0.006247912,0,0,0,0,0
1-4 years,0,0.020412011,0,0.002238781,0.005333189,0,0.001350331,0,0,0
5-9 years,0,0.020726664,0.014568338,0.018017771,0.005004059,2.57E-05,0.015178371,0,0.001327598,0
10-14 years,0.001294977,0.019996835,0.040806791,0.023898134,0.004826501,0.001027056,0.037135266,0.002898117,0.012417651,6.07E-05
15-19 years,0.008448514,0.018695182,0.029455875,0.0185813,0.004491212,0.003558263,0.043640962,0.009078068,0.028024042,0.000508876
20-24 years,0.020005595,0.016706534,0.004871962,0.014245867,0.004296637,0.004496364,0.042859711,0.008780078,0.034658519,0.001937791
25-29 years,0.027686008,0.014384787,0,0.011675518,0.004148692,0.004782836,0.042791986,0.007747492,0.036321919,0.003595836
30-34 years,0.030621913,0.013175504,0,0.00981701,0.004048341,0.005132549,0.044511849,0.007662392,0.038795933,0.00448091
35-39 years,0.031611077,0.012164287,0,0.008290078,0.003971177,0.004432364,0.047239478,0.008042651,0.043117166,0.004825847
40-44 years,0.031460944,0.010768988,0,0.007177848,0.003882731,0.00288679,0.048485393,0.008236044,0.046707368,0.004957209
45-49 years,0.031006369,0.009362789,0,0.006113053,0.003820323,0.001852552,0.048558871,0.00811446,0.050837143,0.004908643
50-54 years,0.030380482,0.008121346,0,0.004940876,0.003741873,0,0.048080442,0.007887663,0.055535458,0.004674581
55-59 years,0.029823841,0.007428932,0,0.003467159,0.003713641,0,0.047448206,0.007903176,0.059486867,0.004261385
60-64 years,0.029217237,0.006479034,0,0.002243386,0.003597567,0,0.045677373,0.007476742,0.063896516,0.003857351
65-69 years,0.028749499,0.005690933,0,0.001240176,0.003570178,0,0.044302442,0.006915721,0.064774446,0.003315237
70-74 years,0.028419008,0.004749391,0,0.000618821,0.003509541,0,0.042986648,0.006083053,0.064066412,0.002716116
75-79 years,0.028167262,0.003514345,0,0.000249022,0.003392324,0,0.041398448,0.005152716,0.063201122,0.002099175
80-84 years,0.028242513,0.003125334,0,5.30E-05,0.003272506,0,0.040012487,0.004278052,0.061047166,0.001554427
85-89 years,0.028928492,0.001951167,0,6.61E-06,0.003154276,0,0.037982457,0.003539845,0.058190786,0.001108992
90-94 years,0.030271732,0.001100414,0,6.19E-07,0.002988382,0,0.035421357,0.002870358,0.056502458,0.000777563
95+ years,0.032710973,0.000587118,0,5.43E-08,0.002790375,0,0.031809854,0.00221141,0.056251969,0.000538488
