Age,Other mental disorders,Idiopathic developmental intellectual disability,Conduct disorder,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Eating disorders,Anxiety disorders,Bipolar disorder,Depressive disorders,Schizophrenia
0-6 days,0,0.00675961,0,0,0.014556649,0,0,0,0,0
7-27 days,0,0.006794475,0,0,0.014300334,0,0,0,0,0
28-364 days,0,0.007039133,0,0,0.013347765,0,0,0,0,0
1-4 years,0,0.005750252,0,0.003406728,0.009589594,0,0.00257805,0,0,0
5-9 years,0,0.006250069,0.019511656,0.025228668,0.008338979,9.70042E-05,0.02612001,0,0.002028311,0
10-14 years,0.00162612,0.005846724,0.04633409,0.031069099,0.007828102,0.00275406,0.059518568,0.004173908,0.020003117,5.6358E-05
15-19 years,0.010158933,0.005186583,0.034047234,0.021474381,0.007054693,0.008814186,0.066171159,0.0123924,0.043899849,0.000499541
20-24 years,0.023573041,0.004870479,0.005888095,0.01517657,0.006642521,0.011039664,0.064037707,0.011530603,0.0510838,0.002030018
25-29 years,0.031723766,0.004656533,0,0.011654974,0.006299974,0.010986845,0.063397667,0.010108644,0.049849142,0.003654207
30-34 years,0.033985527,0.004472259,0,0.009516916,0.006063481,0.010609535,0.063885174,0.009885009,0.04980283,0.004613781
35-39 years,0.034326169,0.004263283,0,0.007933734,0.005903847,0.008767976,0.065141029,0.010008753,0.052960369,0.005121067
40-44 years,0.033788624,0.003961915,0,0.006581406,0.005824985,0.006053858,0.066213805,0.010284318,0.054241774,0.005308806
45-49 years,0.033087611,0.003633676,0,0.005283589,0.005739961,0.004168358,0.066225168,0.010135612,0.053357769,0.005307455
50-54 years,0.03229279,0.00338673,0,0.004116484,0.00560402,0,0.064060937,0.009693218,0.052019196,0.005084825
55-59 years,0.031492526,0.003097603,0,0.002867081,0.005452132,0,0.059945045,0.009140944,0.050216798,0.004703381
60-64 years,0.030687515,0.002761525,0,0.001747233,0.005291318,0,0.05482681,0.008584024,0.048496777,0.004169953
65-69 years,0.029937054,0.002342445,0,0.000921087,0.005188743,0,0.050150315,0.007758257,0.04667493,0.003537512
70-74 years,0.029347243,0.001947243,0,0.000441567,0.005027005,0,0.0470844,0.006732531,0.044926989,0.002859064
75-79 years,0.028854706,0.001451261,0,0.000155922,0.004770375,0,0.044595596,0.005626539,0.043523281,0.002166406
80-84 years,0.028636736,0.001229811,0,2.22793E-05,0.004461492,0,0.042269508,0.004631322,0.04391058,0.001570002
85-89  years,0.028980098,0.000851744,0,1.58207E-06,0.004075803,0,0.040004046,0.003755647,0.047442995,0.00112501
90-94  years,0.030016247,0.000554811,0,8.58E-08,0.003640461,0,0.037384526,0.002971754,0.051389107,0.000804699
95+ years,0.032122027,0.000347073,0,4.61E-09,0.003208845,0,0.033614979,0.002228092,0.055126814,0.000574086
