Age,Other mental disorders,Idiopathic developmental intellectual disability,Conduct disorder,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Eating disorders,Anxiety disorders,Bipolar disorder,Depressive disorders,Schizophrenia
0-6 days,0,0.006463456,0,0,0.007415825,0,0,0,0,0
7-27 days,0,0.006633728,0,0,0.007433458,0,0,0,0,0
28-364 days,0,0.007070885,0,0,0.007107316,0,0,0,0,0
1-4 years,0,0.006237686,0,0.003043606,0.005423123,0,0.001423116,0,0,0
5-9 years,0,0.006765935,0.013974713,0.024250688,0.004994723,5.31375E-05,0.01565386,0,0.001395112,0
10-14 years,0.001306644,0.006498785,0.040566244,0.032894963,0.004856657,0.001094831,0.038563915,0.002906391,0.011947428,8.02033E-05
15-19 years,0.008357519,0.005912357,0.028376235,0.025693501,0.004425762,0.003797752,0.044293281,0.008984504,0.025276232,0.000628499
20-24 years,0.019575057,0.005445659,0.0045729,0.019588326,0.004183319,0.00457433,0.042181967,0.008496419,0.030713015,0.002252159
25-29 years,0.027041323,0.004988418,0,0.01570998,0.003993737,0.004616962,0.040541377,0.007133406,0.032588316,0.00412769
30-34 years,0.0300677,0.004679862,0,0.013206392,0.003884674,0.004944662,0.04175664,0.006958504,0.035299927,0.004961535
35-39 years,0.03111667,0.004450238,0,0.011223324,0.003757352,0.004220891,0.043997069,0.007265418,0.038784505,0.005171103
40-44 years,0.0309738,0.004079044,0,0.009602774,0.003610223,0.002592058,0.043686354,0.00704561,0.04260504,0.005266507
45-49 years,0.030517148,0.003730764,0,0.008093626,0.003507345,0.001509002,0.043224512,0.006734734,0.048982479,0.005177955
50-54 years,0.029855815,0.003401967,0,0.006475354,0.003383923,0,0.043461592,0.006577447,0.056223531,0.004902236
55-59 years,0.029286756,0.00311542,0,0.004637871,0.003319645,0,0.044146254,0.006934109,0.062270468,0.004410056
60-64 years,0.028731201,0.002741566,0,0.003002204,0.003183653,0,0.04397775,0.006688653,0.068985012,0.004040605
65-69 years,0.028250301,0.002350466,0,0.001713486,0.003067743,0,0.043842916,0.006333382,0.071129029,0.00349917
70-74 years,0.027982047,0.00196747,0,0.000885314,0.002964512,0,0.043311078,0.005652664,0.070871957,0.002917956
75-79 years,0.027835223,0.001559143,0,0.000367468,0.002843552,0,0.041809299,0.004857161,0.070366209,0.00229397
80-84 years,0.028000641,0.001621054,0,8.56831E-05,0.00268277,0,0.040642199,0.004051101,0.06903465,0.001738505
85-89  years,0.028795662,0.001106589,0,1.22293E-05,0.002494419,0,0.03816699,0.003373093,0.065975606,0.00124235
90-94  years,0.030440473,0.000697253,0,1.35823E-06,0.002296767,0,0.034716983,0.002766712,0.062466791,0.000849542
95+ years,0.033548451,0.000451907,0,1.44E-07,0.002166884,0,0.030029266,0.002196968,0.05882585,0.000546086
