Age,Other mental disorders,Idiopathic developmental intellectual disability,Conduct disorder,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Eating disorders,Anxiety disorders,Bipolar disorder,Depressive disorders,Schizophrenia
0-6 days,0,0.00952772,0,0,0.005972461,0,0,0,0,0
7-27 days,0,0.009871551,0,0,0.005926879,0,0,0,0,0
28-364 days,0,0.011329628,0,0,0.005812892,0,0,0,0,0
1-4 years,0,0.012090337,0,0.002701165,0.005333154,0,0.001245078,0,0,0
5-9 years,0,0.012930954,0.014432112,0.022389768,0.005060665,1.81E-07,0.014361793,0,0.001513038,0
10-14 years,0.001262182,0.012398598,0.040654831,0.030274626,0.004869744,0.000603288,0.036055252,0.003026959,0.014348487,4.87108E-05
15-19 years,0.008360157,0.011760636,0.030106876,0.024486565,0.004552484,0.00198256,0.043764908,0.009556011,0.031437305,0.000381737
20-24 years,0.019867831,0.011134645,0.004933686,0.018855057,0.004310613,0.002374109,0.043321744,0.009044964,0.036435665,0.001313937
25-29 years,0.027538363,0.009880235,0,0.015298742,0.004136519,0.002524676,0.042720057,0.007974376,0.038544565,0.002344008
30-34 years,0.030396288,0.008852547,0,0.012990189,0.004013545,0.002747439,0.04309949,0.007849448,0.041077635,0.002961531
35-39 years,0.031327627,0.008156699,0,0.011174378,0.003906584,0.002288092,0.044088567,0.008183734,0.045322155,0.003293502
40-44 years,0.031280193,0.007894317,0,0.009625356,0.003796222,0.001378524,0.044986748,0.008661941,0.049978228,0.003437634
45-49 years,0.030863289,0.007570606,0,0.008113751,0.003663978,0.00081674,0.044432984,0.008700092,0.054890213,0.003439736
50-54 years,0.03027981,0.006477957,0,0.006556629,0.003567554,0,0.04270409,0.008467258,0.059890365,0.003304549
55-59 years,0.029665966,0.005341629,0,0.004751675,0.003474872,0,0.04074847,0.008112322,0.065452098,0.003070971
60-64 years,0.029077906,0.004632461,0,0.003046981,0.003356877,0,0.039104918,0.007595744,0.070876027,0.002754187
65-69 years,0.028578677,0.004101697,0,0.00173805,0.003229279,0,0.037886598,0.006829955,0.074721944,0.002326504
70-74 years,0.028155705,0.00345439,0,0.000886443,0.003064194,0,0.037249576,0.005861635,0.077451742,0.001851765
75-79 years,0.027939361,0.002611676,0,0.000365662,0.002912677,0,0.036458055,0.004908443,0.079765382,0.001353443
80-84 years,0.028104482,0.002654686,0,7.83446E-05,0.002779647,0,0.035174628,0.004036504,0.079359827,0.000888328
85-89  years,0.028964527,0.001850628,0,8.87418E-06,0.002648256,0,0.032984169,0.003310004,0.074679098,0.000523877
90-94  years,0.030714997,0.001329347,0,6.87E-07,0.002504317,0,0.030155865,0.002662606,0.069142359,0.000288253
95+ years,0.033799394,0.000946897,0,4.27E-08,0.002368934,0,0.026430286,0.002061801,0.063275062,0.000148465
