CodeNum,Code3,Country,Male,Female,All,Region,Subregion,Pop,Gdp,Hdi
160,AFG,Afghanistan,2.6313011,3.4817611,3.0507854,Asia,Southern Asia,27657145,585.8500638,0.498
43,ALB,Albania,1.8808761,3.3301511,2.6078962,Europe,Southern Europe,2886026,4537.862492,0.785
139,DZA,Algeria,2.9755258,4.4077753,3.6910205,Africa,Northern Africa,40400000,4123.389937,0.754
298,ASM,American Samoa,2.3032297,3.2726325,2.7877885,Oceania,Polynesia,57100,12686.06929,0.713
74,AND,Andorra,3.2544063,5.5172197,4.3724846,Europe,Southern Europe,78014,39146.54884,0.858
168,AGO,Angola,2.5625493,3.4554001,3.0243076,Africa,Middle Africa,25868000,4170.31228,0.581
105,ATG,Antigua and Barbuda,2.2062991,3.4337758,2.8401098,Americas,Caribbean,86295,15021.73818,0.78
97,ARG,Argentina,2.8084044,4.7715473,3.829077,Americas,South America,43590400,14401.97485,0.825
33,ARM,Armenia,2.4560365,3.8536001,3.1861303,Asia,Western Asia,2994400,3936.79832,0.755
71,AUS,Australia,3.8588724,5.813376,4.8586358,Oceania,Australia and New Zealand,24117360,53799.93809,0.939
75,AUT,Austria,2.5864916,5.0474232,3.8508484,Europe,Western Europe,8725931,47290.91165,0.908
34,AZE,Azerbaijan,2.0154629,3.3353571,2.6842818,Asia,Western Asia,9730500,4131.61831,0.757
140,BHR,Bahrain,4.0857638,4.8734495,4.3862666,Asia,Western Asia,1404900,23655.0356,0.846
161,BGD,Bangladesh,2.9295403,4.8820119,3.9207974,Asia,Southern Asia,161006790,1516.513423,0.608
107,BRB,Barbados,2.6621715,3.850111,3.2830898,Americas,Caribbean,285000,16788.68392,0.8
57,BLR,Belarus,3.7658218,6.10754,5.0292939,Europe,Eastern Europe,9498700,5726.029673,0.808
76,BEL,Belgium,3.3937115,5.8467946,4.6584773,Europe,Western Europe,11319511,43323.80734,0.916
108,BLZ,Belize,2.2595111,3.0833942,2.6758941,Americas,Central America,370300,4905.506284,0.708
200,BEN,Benin,2.0309599,3.0754125,2.563789,Africa,Western Africa,10653654,829.7972306,0.515
305,BMU,Bermuda,2.8262587,4.1219607,3.5080925,Americas,Northern America,61954,104058.2783,0
162,BTN,Bhutan,2.6542222,3.7397721,3.1694863,Asia,Southern Asia,775620,3110.230113,0.612
121,BOL,Bolivia,2.1625866,3.4939052,2.8325795,Americas,South America,10985059,3393.955818,0.693
44,BIH,Bosnia and Herzegovina,2.1575753,3.6453659,2.920295,Europe,Southern Europe,3531159,5180.636301,0.768
193,BWA,Botswana,3.1908343,4.1012766,3.6560551,Africa,Southern Africa,2141206,7595.59585,0.717
135,BRA,Brazil,2.4791483,4.5182974,3.5296728,Americas,South America,206135893,9821.407686,0.759
66,BRN,Brunei,2.0155093,3.4449125,2.7088544,Asia,South-Eastern Asia,411900,28290.5852,0.853
45,BGR,Bulgaria,2.5101792,4.2677938,3.4220071,Europe,Eastern Europe,7153784,8031.598442,0.813
201,BFA,Burkina Faso,2.0327861,3.0861001,2.5762171,Africa,Western Africa,19034397,670.7059131,0.423
175,BDI,Burundi,2.2591707,3.0438163,2.6552587,Africa,Eastern Africa,10114505,320.0868701,0.417
203,CPV,Cabo Verde,3.495704,4.3260799,3.9143452,Africa,Western Africa,531239,3209.69112,0.654
10,KHM,Cambodia,2.3065595,3.3529366,2.8421227,Asia,South-Eastern Asia,15626444,1384.423187,0.582
202,CMR,Cameroon,2.1920639,3.2705002,2.7350863,Africa,Middle Africa,22709892,1446.702895,0.556
101,CAN,Canada,3.197859,5.2413825,4.253596,Americas,Northern America,36155487,45032.11991,0.926
169,CAF,Central African Republic,3.0615689,3.842448,3.4550985,Africa,Middle Africa,4998000,418.411287,0.367
204,TCD,Chad,1.9498565,2.9900544,2.4754121,Africa,Middle Africa,14497000,669.8864259,0.404
98,CHL,Chile,3.2381279,5.4334583,4.3713413,Americas,South America,18191900,15346.4497,0.843
6,CHN,China,3.1393397,5.1943049,4.1554548,Asia,Eastern Asia,1377422166,8826.994096,0.752
125,COL,Colombia,2.0664937,2.4930078,2.2874269,Americas,South America,48759958,6301.589878,0.747
176,COM,Comoros,2.2965378,3.4423396,2.876144,Africa,Eastern Africa,806153,797.2863685,0.503
170,COG,Congo,2.9185188,3.9181439,3.4242645,Africa,Middle Africa,4741000,1658.043625,0.606
171,COD,Congo (Democratic Republic of the),2.6291615,3.4282411,3.0298386,Africa,Middle Africa,85026000,457.8473868,0.457
126,CRI,Costa Rica,2.6253653,3.5397179,3.1017111,Americas,Central America,4890379,11630.6684,0.794
205,CIV,Cote d'Ivoire,2.0540737,2.9544173,2.4908422,Africa,Western Africa,22671331,1662.442467,0.492
46,HRV,Croatia,2.9043836,4.3329021,3.6458459,Europe,Southern Europe,4190669,13294.51493,0.831
109,CUB,Cuba,3.3312171,4.8387318,4.0946203,Americas,Caribbean,11239004,8250.695117,0.777
