id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
MAR,5.382047903,5.621127665,5.840486176,6.03892922,6.291961537,6.493353377,6.813227952,7.068099443,7.345766245,7.596248238,7.860331698,8.075605121,8.262865644,8.440825496,8.586214549,8.768986984,8.951405827,9.107659067,9.275139947,9.431335011,9.574133203,9.673848782,9.804521578,9.902698993,9.967826015,10.04282592,10.09970807
AFG,2.036989052,2.063253187,2.125623086,2.1591909,2.13559194,2.18514725,2.236982898,2.2196274,2.138685103,2.290703052,2.321828189,2.371142147,2.493927297,2.607417643,2.717528146,2.81040361,2.884350428,2.982745465,3.123399366,3.244660142,3.375686457,3.510006104,3.643867747,3.771139834,3.817751559,3.848249758,3.891479409
AGO,1.579837631,1.624164763,1.650901316,1.600161884,1.707247237,1.779752605,1.813433092,1.834857772,1.855172925,1.855465054,1.882172,1.908348908,1.981214666,2.057676236,2.138515385,2.225408513,2.280781543,2.407006702,2.508910693,2.608339579,2.737826087,2.906446484,3.094471783,3.296094089,3.50507472,3.710035522,3.931599771
ALB,5.617928845,5.601304624,5.600477474,5.607735001,5.667739442,5.79492523,5.970538219,5.362031857,6.221934754,6.344745485,6.460861097,6.564311818,6.639675983,6.68988748,6.732846209,6.781552844,6.805047668,6.791803083,6.746879018,6.735961389,6.781819281,6.806065403,6.825042257,6.827483512,6.819775159,6.799026168,6.798316072
AND,9.667743691,9.67031814,9.664659597,9.736971118,9.762996346,9.873078639,9.988928065,10.10040908,10.21949881,10.3379255,10.40333473,10.47065229,10.53618147,10.53823375,10.46149963,10.45341347,10.42046648,10.39903757,10.32738963,10.22663823,10.12609726,10.04721933,9.955588966,9.8956766,9.813147885,9.742247653,9.739502
ARE,8.854142197,9.182914334,9.46296382,9.730356719,9.953861454,10.20250292,10.44436904,10.65655239,10.97803342,11.20482869,11.49467337,11.80816497,12.06738152,12.35260823,12.59486984,13.02765926,13.47368273,13.46873733,13.38176325,13.25114806,13.08394629,12.80419419,12.57736207,12.3747153,12.1650645,11.98211703,11.8837953
ARG,7.627851606,7.760130793,7.88790855,8.032396027,8.199831732,8.305970242,8.372863352,8.447541276,8.481402058,8.556908611,8.642453383,8.703487893,8.757464624,8.828902938,8.948535969,9.058828915,9.083323011,9.047622178,9.085615118,9.081268971,9.102548137,9.140020939,9.160375278,9.198969214,9.261771003,9.298942129,9.345871899
ARM,5.264381911,5.249394745,5.073269588,5.016489855,5.085499543,5.201361798,5.30656732,5.493750195,5.622580669,5.73475279,5.8821152,5.938690301,6.043986735,6.030919673,6.044558298,5.971460518,5.939939666,6.052006281,6.007044292,6.04854362,6.144294684,6.227532587,6.332020787,6.492775403,6.545580055,6.49566866,6.579250317
ASM,5.762740658,5.783486341,5.810499892,5.864683457,5.89216431,5.926850228,5.95927856,5.996810709,6.026438937,6.084313705,6.161377318,6.204051823,6.23329553,6.124050743,6.230710866,6.276814537,6.327708934,6.412953731,6.528656458,5.867186499,6.635406352,6.604286627,6.628252554,6.610207328,6.63708476,6.669054742,6.71110998
ATG,8.63215284,8.677451978,8.702201903,8.682396353,8.673642008,8.659344612,8.725080936,8.887583891,8.959901194,8.910540112,8.825020883,8.860811261,8.934847912,9.012618958,9.055319873,9.183144282,9.221342055,9.337313662,9.432558731,9.537937088,9.51641391,9.50946976,9.500317374,9.547622732,9.405251895,9.465768401,9.466439438
